1,Week 1,,,,,,,,,,,,Week 2,,,,,,,,,,,,Week 3,,,,,,,,,,,,Week 4,,,,,,,,,,,,Week 5,,,,,,,,,,,,Week 6,,,,,,,,,,,,Week 7,,,,,,,,,,,,Week 8,,,,,,,,,,,,Week 9,,,,,,,,,,,,Week 10,,,,,,,,,,,,Week 11,,,,,,,,,,,,Week 12,,,,,,,,,,,,Week 13,,,,,,,,,,,,Week 14,,,,,,,,,,,,Week 15,,,,,,,,,,,,Week 16,,,,,,,,,,,,Week 17,,,,,,,,,,,,Week 18,,,,,,,,,,,,Week 19,,,,,,,,,,,,Week 20,,,,,,,,,,,,Week 21,,,,,,,,,,,
Day 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,
Lat Pulldown,3,12,yes,,,,,,,,,,4,12,yes,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,,5,12,,,,,,,,,,
,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5,Weight,Reps per normal set,Rep out target,Set goal,Reps on last set,,Video,Notes,spacer 2,spacer 3,spacer 4,spacer 5
Overhead Press (Smith Machine) TM,65.00,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,,66.30,single @8,,,,,,,,,,
Overhead Press (Smith Machine),42.5,12,15,4,19,,,,,,,,45,11,13,4,,,,,,,,,47.5,10,12,4,,,,,,,,,45,11,13,4,,,,,,,,,47.5,10,12,4,,,,,,,,,47.5,9,11,4,,,,,,,,,40,5,n/a,4,,,,,,,,,45,11,13,4,,,,,,,,,47.5,10,12,4,,,,,,,,,47.5,9,11,4,,,,,,,,,47.5,10,12,4,,,,,,,,,47.5,9,11,4,,,,,,,,,50,8,10,4,,,,,,,,,40,5,n/a,4,,,,,,,,,47.5,10,12,4,,,,,,,,,47.5,9,11,4,,,,,,,,,50,8,10,4,,,,,,,,,47.5,9,11,4,,,,,,,,,50,8,10,4,,,,,,,,,52.5,7,9,4,,,,,,,,,40,5,n/a,4,,,,,,,,
,Sets,Reps,Were all sets completed successfully,,#,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,
Cable Low Row,4,12,yes,,,,,,,,,,5,12,yes,,,,,,,,,,6,12,yes,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,,4,13,,,,,,,,,,
,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,
Cable Lateral Raise,4,8,yes,,,,,,,,,,5,8,yes,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,,6,8,,,,,,,,,,
,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,,Sets,Reps,Were all sets completed successfully,,,,Video,Notes,,,,
